04_healthcare-20160830-13 | 不被醫生殺死的47心得：百萬人肯定，現代仁醫的良心處方箋 | 近藤誠
04_healthcare-20160830-14 | 靜坐的科學、醫學與心靈之旅：21世紀最實用的身心轉化指南 | 楊定一、楊元寧
04_healthcare-20160830-15 | 發燒免驚（含MP3有聲書） | 黃瑽寧
01_business_startup-20160830-16 | 長尾理論：打破80/20法則，獲利無限延伸（最新增訂版） | 克里斯‧安德森
01_business_startup-20160830-17 | 蘋果橘子經濟學（擴充‧修訂紀念版） | 李維特 & 杜伯納
01_business_startup-20160830-18 | 這次不一樣：800年金融危機史 | 萊茵哈特、羅格夫
01_business_startup-20160830-19 | 世界是平的（增訂版) | 佛里曼
01_business_startup-20160830-20 | 第二次機器時代：智慧科技如何改變人類的工作、經濟與未來？ | 布林優夫森、麥克費
02_psychology_growth-20160830-16 | 網路讓我們變笨？：數位科技正在改變我們的大腦、思考與閱讀行為 | 卡爾
02_psychology_growth-20160830-17 | 遊戲改變世界，讓現實更美好！ | 簡‧麥戈尼格爾
02_psychology_growth-20160830-18 | 抱緊我：扭轉夫妻關係的七種對話 | 蘇珊‧強森博士
02_psychology_growth-20160830-19 | 八週正念練習：走出憂鬱與情緒風暴 | 馬克．威廉斯、約翰．蒂斯岱、辛德．西格爾
02_psychology_growth-20160830-20 | EQ：決定一生幸福與成就的永恆力量〔全球暢銷20週年．典藏紀念版〕 | 丹尼爾‧高曼
03_natural_science-20160830-16 | 七堂簡單物理課 | 羅維理
03_natural_science-20160830-17 | 新時間簡史 | 史蒂芬．霍金、雷納．曼羅迪諾
03_natural_science-20160830-18 | 自私的基因 | 道金斯
03_natural_science-20160830-19 | 植物看得見你：還聞得到、知道蟲子的Size、有方向感、有記憶 ： 你想像不到的超強感受力！ | 丹尼爾．查莫維茲
03_natural_science-20160830-20 | 打造天生贏家：DNA和演化的強力證據 | 西恩．卡洛
04_healthcare-20160830-16 | 天生就會跑 | 克里斯多福‧麥杜格
04_healthcare-20160830-17 | 一位外科醫師的修煉：25週年紀念版 | 葛文德
04_healthcare-20160830-18 | 白袍：一位哈佛醫學生的歷練 | 艾倫‧羅絲曼
04_healthcare-20160830-19 | 跑得過一切：天生就會跑主角史考特的跑步與飲食之心 | 史考特．傑瑞克
04_healthcare-20160830-20 | 過勞之島（勞動之王電視劇照版）：台灣職場過勞實錄與對策 | 黃怡翎、高有智
01_business_startup-20160830-21 | 一個人的經濟：成熟市場也有大金礦 | 大前研一
01_business_startup-20160830-22 | 大債時代：第一本看懂全球債務危機的書 | 約翰．蘭徹斯特
01_business_startup-20160830-23 | 哈佛最受歡迎的行銷課：建立商業概念的第一本書 | 揚米．穆恩
01_business_startup-20160830-24 | 真希望我20歲就懂的事：史丹佛大學的創新╳創意╳創業震撼課程（全新增訂版） | 婷娜.希莉格
01_business_startup-20160830-25 | 華頓商學院最受歡迎的談判課：上完這堂課，世界都會聽你的（暢銷20萬冊增修版） | 史都華．戴蒙
02_psychology_growth-20160830-21 | 最後的演講 | 蘭迪．鮑許、傑弗利．札斯洛
